CODIGO;DESCRIPCION
S11101;HABITACION UNIPERSONAL 1ER. NIVEL
S11102;HABITACION BIPERSONAL 1ER. NIVEL
S11103;HABITACION TRES CAMAS 1ER. NIVEL
S11104;HABITACION DE CUATRO CAMAS O MAS 1ER. NIVEL
S11201;HABITACION UNIPERSONAL SEG. NIVEL
S11202;HABITACION BIPERSONAL SEG. NIVEL
S11203;HABITACION TRES CAMAS SEG. NIVEL
S11204;HABITACION DE CUATRO CAMAS O MAS SEG. NIVEL
S11301;HABITACION UNIPERSONAL TERCER NIVEL
S11302;HABITACION BIPERSONAL TERCER NIVEL
S11303;HABITACION TRES CAMAS TERCER NIVEL
S11304;HABITACION DE CUATRO CAMAS O MAS TERCER NIVEL
S12101;UNIDAD DE CUIDADOS INTENSIVOS NEONATAL
S12102;UNIDAD DE CUIDADOS INTENSIVOS PEDIÁTRICA
S12103;UNIDAD DE CUIDADOS INTENSIVOS ADULTO
S12201;UNIDAD DE CUIDADOS INTERMEDIOS NEONATALES
S12202;UNIDAD DE CUIDADOS INTERMEDIOS PEDIATRICOS
S12203;UNIDAD DE CUIDADOS INTERMEDIOS ADULTO
S12301;UNIDAD DE QUEMADOS PEDIATRICOS
S12302;UNIDAD DE QUEMADOS ADULTO
S12400;SERVICIO DE COMPLEJIDAD BAJA    (357)
S12401;SERVICIO DE COMPLEJIDAD MEDIANA    (357)
S12402;SERVICIO DE COMPLEJIDAD ALTA    (357)
S12500;INTERNACION EN UNIDAD DE CUIDADO PALIATIVO SOD
S12600;UNIDAD DE AISLAMIENTO
S12710;HABITACION UNIPERSONAL
S12711;HABITACION BIPERSONAL
S12712;HABITACION TRES CAMAS
S12713;HABITACION DE CUATRO CAMAS O MAS
S12720;HABITACION UNIPERSONAL
S12721;HABITACION BIPERSONAL
S12722;HABITACION TRES CAMAS
S12723;HABITACION DE CUATRO CAMAS O MAS
S12740;HABITACION UNIPERSONAL
S12741;HABITACION BIPERSONAL
S12742;HABITACION TRES CAMAS
S12743;HABITACION DE CUATRO CAMAS O MAS
S12750;HABITACION UNIPERSONAL
S12751;HABITACION BIPERSONAL
S12752;HABITACION TRES CAMAS
S12753;HABITACION DE CUATRO CAMAS O MAS
S20001;SERVICIO DE COMPLEJIDAD BAJA SOD
S20101;SERVICIO DE COMPLEJIDAD MEDIANA SOD
S20201;SERVICIO DE COMPLEJIDAD ALTA SOD
S22101;SALA DE CURACIONES
S22220;SALA DE HEMODIALISIS    (307)
S22223;SALA DE DIALISIS PERITONEAL    (308)
S24101;SERVICIO DE COMPLEJIDAD BAJA
S24102;SERVICIO DE COMPLEJIDAD MEDIANA
S24103;SERVICIO DE COMPLEJIDAD ALTA
39203;DERECHOS SALA DE OBSERVACIÓN  INSTITUCIÓN TERCER NIVEL 
39205;DERECHOS DE SALA PARA CURACIONES 
39207;SESIÓN DE HEMODIÁLISIS CON BICARBONATO, QUE INCLUYE: LA DOTACIÓN, SERVICIO DE ENFERMERÍA, LA UTILIZACIÓN DE LOS EQUIPOS,  ELEMENTOS PROPIOS DE LA UNIDAD, SERVICIOS PÚBLICOS Y DE ASEO Y LOS ELEMENTOS NECESARIOS PARA EL TRATAMIENTO DEL AGUA. 
39208;ATENCIÓN DIARIA EN LA UNIDAD DE NEFROLOGÍA, QUE INCLUYE: LA DOTACIÓN, SERVICIO DE ENFERMERÍA, LA UTILIZACIÓN DE LOS EQUIPOS Y ELEMENTOS PROPIOS DE LA UNIDAD, SERVICIOS PÚBLICOS Y DE ASEO. 
38111;HABITACION UNIPERSONAL 1ER. NIVEL
38112;HABITACION BIPERSONAL 1ER. NIVEL
38113;HABITACION TRES CAMAS 1ER. NIVEL
38114;HABITACION DE CUATRO CAMAS O MAS 1ER. NIVEL
38121;HABITACION UNIPERSONAL SEG. NIVEL
38122;HABITACION BIPERSONAL SEG. NIVEL
38123;HABITACION TRES CAMAS SEG. NIVEL
38124;HABITACION DE CUATRO CAMAS O MAS SEG. NIVEL
38131;HABITACION UNIPERSONAL TERCER NIVEL
38132;HABITACION BIPERSONAL TERCER NIVEL
38133;HABITACION TRES CAMAS TERCER NIVEL
38134;HABITACION DE CUATRO CAMAS O MAS TERCER NIVEL
38525;UNIDAD DE CUIDADOS INTENSIVOS PEDIÁTRICA
38625;UNIDAD DE CUIDADOS INTERMEDIOS NEONATALES
38825;UNIDAD DE CUIDADOS INTERMEDIOS ADULTO
38635;UNIDAD DE QUEMADOS ADULTO
38715;SERVICIO DE COMPLEJIDAD BAJA    (357)
38725;SERVICIO DE COMPLEJIDAD MEDIANA    (357)
38735;SERVICIO DE COMPLEJIDAD ALTA    (357)
38325;INTERNACION EN UNIDAD DE CUIDADO PALIATIVO SOD
38435;UNIDAD DE AISLAMIENTO
38261;HABITACION UNIPERSONAL
38262;HABITACION BIPERSONAL
38263;HABITACION TRES CAMAS
38264;HABITACION DE CUATRO CAMAS O MAS
38271;HABITACION UNIPERSONAL
38272;HABITACION BIPERSONAL
38273;HABITACION TRES CAMAS
38274;HABITACION DE CUATRO CAMAS O MAS
38221;HABITACION UNIPERSONAL
38222;HABITACION BIPERSONAL
38223;HABITACION TRES CAMAS
38224;HABITACION DE CUATRO CAMAS O MAS
38231;HABITACION UNIPERSONAL
38232;HABITACION BIPERSONAL
38233;HABITACION TRES CAMAS
38234;HABITACION DE CUATRO CAMAS O MAS
39201;DERECHOS DE SALA PARA SUTURAS
39202;DERECHOS DE SALA PARA CURACIONES
39222;POR SESIÓN, QUE INCLUYE: LA DOTACIÓN Y SERVICIO DE ENFERMERÍA, LA UTILIZACIÓN DE LOS EQUIPOS Y ELEMENTOS PROPIOS DE LA UNIDAD, SERVICIOS PÚBLICOS Y DE ASEO
39223;ATENCIÓN DIARIA EN LA UNIDAD DE NEFROLOGÍA, QUE INCLUYE: LA DOTACIÓN Y SERVICIO DE ENFERMERÍA, LA UTILIZACIÓN DE LOS EQUIPOS Y ELEMENTOS PROPIOS DE LA UNIDAD, SERVICIOS PÚBLICOS Y DE ASEO
38915;SERVICIO DE COMPLEJIDAD BAJA
38925;SERVICIO DE COMPLEJIDAD MEDIANA
38935;SERVICIO DE COMPLEJIDAD ALTA
E890706;PAQUETE CAMA DIA INTERNACION UNIDAD DE CUIDADOS INTENSIVOS (DIA 4 EN ADELANTE)
E890705;PAQUETE DIA INTERNACION UNIDAD DE CUIDADOS INTENSIVOS (DIAS 1, 2 Y 3)
E890704;PAQUETE DE ATENCION INTEGRAL DE CAMA DIA
