id;id_dpto;id_municipio;municipio;cod_municipio_rips
1;Co-Ama91;91001;Leticia;001
2;Co-Ama91;91540;Puerto Narińo;540
3;Co-Ant5;5001;Medellin;001
4;Co-Ant5;5002;Abejorral;002
5;Co-Ant5;5004;Abriaqui;004
6;Co-Ant5;5021;Alejandria;021
7;Co-Ant5;5030;Amaga;030
8;Co-Ant5;5031;Amalfi;031
9;Co-Ant5;5034;Andes;034
10;Co-Ant5;5036;Angelopolis;036
11;Co-Ant5;5038;Angostura;038
12;Co-Ant5;5040;Anori;040
13;Co-Ant5;5044;Anza;044
14;Co-Ant5;5045;Apartado;045
15;Co-Ant5;5051;Arboletes;051
16;Co-Ant5;5055;Argelia;055
17;Co-Ant5;5059;Armenia;059
18;Co-Ant5;5079;Barbosa;079
19;Co-Ant5;5086;Belmira;086
20;Co-Ant5;5088;Bello;088
21;Co-Ant5;5091;Betania;091
22;Co-Ant5;5093;Betulia;093
23;Co-Ant5;5101;Bolivar;100
24;Co-Ant5;5107;Briceńo;107
25;Co-Ant5;5113;Buritica;113
26;Co-Ant5;5120;Caceres;120
27;Co-Ant5;5125;Caicedo;125
28;Co-Ant5;5129;Caldas;129
29;Co-Ant5;5134;Campamento;134
30;Co-Ant5;5138;Cańasgordas;138
31;Co-Ant5;5142;Caracoli;142
32;Co-Ant5;5145;Caramanta;145
33;Co-Ant5;5147;Carepa;147
34;Co-Ant5;5148;Carmen de Viboral;148
35;Co-Ant5;5150;Carolina;150
36;Co-Ant5;5154;Caucasia;154
37;Co-Ant5;5172;Chigorodo;172
38;Co-Ant5;5190;Cisneros;190
39;Co-Ant5;5197;Cocorna;197
40;Co-Ant5;5206;Concepcion;206
41;Co-Ant5;5209;Concordia;209
42;Co-Ant5;5212;Copacabana;212
43;Co-Ant5;5234;Dabeiba;234
44;Co-Ant5;5237;Don Matias;237
45;Co-Ant5;5240;Ebejico;240
46;Co-Ant5;5250;El Bagre;250
47;Co-Ant5;5264;Entrerrios;264
48;Co-Ant5;5266;Envigado;266
49;Co-Ant5;5282;Fredonia;282
50;Co-Ant5;5284;Frontino;284
51;Co-Ant5;5306;Giraldo;306
52;Co-Ant5;5308;Girardota;308
53;Co-Ant5;5310;Gomez Plata;310
54;Co-Ant5;5313;Granada;313
55;Co-Ant5;5315;Guadalupe;315
56;Co-Ant5;5318;Guarne;318
57;Co-Ant5;5321;Guatape;321
58;Co-Ant5;5347;Heliconia;347
59;Co-Ant5;5353;Hispania;353
60;Co-Ant5;5360;Itagui;360
61;Co-Ant5;5361;Ituango;361
62;Co-Ant5;5364;Jardin;364
63;Co-Ant5;5368;Jerico;368
64;Co-Ant5;5376;La Ceja;376
65;Co-Ant5;5380;La Estrella;380
66;Co-Ant5;5390;La Pintada;390
67;Co-Ant5;5400;La Union;400
68;Co-Ant5;5411;Liborina;411
69;Co-Ant5;5425;Maceo;425
70;Co-Ant5;5440;Marinilla;440
71;Co-Ant5;5467;Montebello;467
72;Co-Ant5;5475;Murindo;475
73;Co-Ant5;5480;Mutata;480
74;Co-Ant5;5483;Narińo;483
75;Co-Ant5;5490;Necocli;490
76;Co-Ant5;5495;Nechi;495
77;Co-Ant5;5501;Olaya;501
78;Co-Ant5;5541;EL Peńon;268
79;Co-Ant5;5543;Peque;543
80;Co-Ant5;5576;Pueblorrico;576
81;Co-Ant5;5579;Puerto Berrio;579
82;Co-Ant5;5585;Puerto Nare;585
83;Co-Ant5;5591;Puerto Triunfo;591
84;Co-Ant5;5604;Remedios;604
85;Co-Ant5;5607;Retiro;607
86;Co-Ant5;5615;Rionegro;615
87;Co-Ant5;5628;Sabanalarga;628
88;Co-Ant5;5631;Sabaneta;631
89;Co-Ant5;5642;Salgar;642
90;Co-Ant5;5647;San Andres de Cuerquia;647
91;Co-Ant5;5649;San Carlos;649
92;Co-Ant5;5652;San Francisco;652
93;Co-Ant5;5656;San Jeronimo;656
94;Co-Ant5;5658;San Jose de la Montańa;658
95;Co-Ant5;5659;San Juan de Uraba;659
96;Co-Ant5;5660;San Luis;660
97;Co-Ant5;5664;San Pedro;664
98;Co-Ant5;5665;San Pedro de Uraba;665
99;Co-Ant5;5667;San Rafael;667
100;Co-Ant5;5670;San Roque;670
101;Co-Ant5;5674;San Vicente;674
102;Co-Ant5;5679;Santa Barbara;679
103;Co-Ant5;5685;SantaFe de Antioquia;042
104;Co-Ant5;5686;Santa Rosa de Osos;686
105;Co-Ant5;5690;Santo Domingo;690
106;Co-Ant5;5697;Santuario;687
107;Co-Ant5;5736;Segovia;736
108;Co-Ant5;5756;Sonson;756
109;Co-Ant5;5761;Sopetran;761
110;Co-Ant5;5789;Tamesis;789
111;Co-Ant5;5790;Taraza;790
112;Co-Ant5;5792;Tarso;792
113;Co-Ant5;5809;Titiribi;809
114;Co-Ant5;5819;Toledo;819
115;Co-Ant5;5837;Turbo;837
116;Co-Ant5;5842;Uramita;842
117;Co-Ant5;5847;Urrao;847
118;Co-Ant5;5854;Valdivia;854
119;Co-Ant5;5856;Valparaiso;856
120;Co-Ant5;5858;Vegachi;858
121;Co-Ant5;5861;Venecia;861
122;Co-Ant5;5873;Vigia del Fuerte;873
123;Co-Ant5;5885;Yali;885
124;Co-Ant5;5887;Yarumal;887
125;Co-Ant5;5890;Yolombo;890
126;Co-Ant5;5893;Yondo;893
127;Co-Ant5;5895;Zaragoza;895
128;Co-Ara81;81001;Arauca;001
129;Co-Ara81;81065;Arauquita;065
130;Co-Ara81;81220;Cravo Norte;220
131;Co-Ara81;81300;Fortul;300
132;Co-Ara81;81591;Puerto Rondon;591
133;Co-Ara81;81736;Saravena;736
134;Co-Ara81;81794;Tame;794
135;Co-Atl8;8001;Barranquilla;001
136;Co-Atl8;8078;Baranoa;078
137;Co-Atl8;8132;Juan de Acosta;372
138;Co-Atl8;8137;Campo de la Cruz;137
139;Co-Atl8;8141;Candelaria;141
140;Co-Atl8;8296;Galapa;296
141;Co-Atl8;8421;Luruaco;421
142;Co-Atl8;8433;Malambo;433
143;Co-Atl8;8436;Manati;436
144;Co-Atl8;8520;Palmar de Varela;520
145;Co-Atl8;8549;Piojo;549
146;Co-Atl8;8558;Polonuevo;558
147;Co-Atl8;8560;Ponedera;560
148;Co-Atl8;8573;Puerto Colombia;573
149;Co-Atl8;8606;Repelon;606
150;Co-Atl8;8634;Sabanagrande;634
151;Co-Atl8;8638;Sabanalarga;628
152;Co-Atl8;8675;Santa Lucia;675
153;Co-Atl8;8685;Santo Tomas;685
154;Co-Atl8;8758;Soledad;758
155;Co-Atl8;8770;Suan;770
156;Co-Atl8;8832;Tubara;832
157;Co-Atl8;8849;Usiacuri;849
158;Co-Bog01;1001;Bogota D.C.;001
159;Co-Bol13;13001;Cartagena;001
160;Co-Bol13;13006;Achi;006
161;Co-Bol13;13030;Altos del Rosario;030
162;Co-Bol13;13042;Arenal;042
163;Co-Bol13;13052;Arjona;052
164;Co-Bol13;13062;Arroyohondo;062
165;Co-Bol13;13074;Barranco de Loba;074
166;Co-Bol13;13140;Calamar;140
167;Co-Bol13;13160;Cantagallo;160
168;Co-Bol13;13188;Cicuco;188
169;Co-Bol13;13212;Cordoba;212
170;Co-Bol13;13222;Clemencia;222
171;Co-Bol13;13244;El Carmen de Bolivar;244
172;Co-Bol13;13248;El Guamo;248
173;Co-Bol13;13268;El Peńon;268
174;Co-Bol13;13300;Hatillo de Loba;300
175;Co-Bol13;13430;Magangue;430
176;Co-Bol13;13433;Mahates;433
177;Co-Bol13;13440;Margarita;440
178;Co-Bol13;13442;Maria la Baja;442
179;Co-Bol13;13458;Montecristo;458
180;Co-Bol13;13468;Mompos;468
181;Co-Bol13;13473;Morales;473
182;Co-Bol13;13490;Norosi;490
183;Co-Bol13;13549;Pinillos;549
184;Co-Bol13;13580;Regidor;580
185;Co-Bol13;13600;Rio Viejo;600
186;Co-Bol13;13620;San Cristobal;620
187;Co-Bol13;13647;San Estanislao;647
188;Co-Bol13;13650;San Fernando;650
189;Co-Bol13;13654;San Jacinto;654
190;Co-Bol13;13655;San Jacinto del Cauca;655
191;Co-Bol13;13657;San Juan de Nepomuceno;657
192;Co-Bol13;13667;San Martin de Loba;667
193;Co-Bol13;13670;San Pablo;670
194;Co-Bol13;13673;Santa Catalina;673
195;Co-Bol13;13683;Santa Rosa;683
196;Co-Bol13;13688;Santa Rosa del Sur;688
197;Co-Bol13;13744;Simiti;744
198;Co-Bol13;13760;Soplaviento;760
199;Co-Bol13;13780;Talaigua Nuevo;780
200;Co-Bol13;13810;Tiquisio;810
201;Co-Bol13;13836;Turbaco;836
202;Co-Bol13;13838;Turbana;838
203;Co-Bol13;13873;Villanueva;873
204;Co-Bol13;13894;Zambrano;894
205;Co-Boy15;15001;Tunja;001
206;Co-Boy15;15022;Almeida;022
207;Co-Boy15;15047;Aquitania;047
208;Co-Boy15;15051;Arcabuco;051
209;Co-Boy15;15087;Belen;087
210;Co-Boy15;15090;Berbeo;090
211;Co-Boy15;15092;Beteitiva;092
212;Co-Boy15;15097;Boavita;097
213;Co-Boy15;15104;Boyaca;104
214;Co-Boy15;15106;Briceńo;107
215;Co-Boy15;15109;Buenavista;109
216;Co-Boy15;15114;Busbanza;114
217;Co-Boy15;15131;Caldas;129
218;Co-Boy15;15135;Campohermoso;135
219;Co-Boy15;15162;Cerinza;162
220;Co-Boy15;15172;Chinavita;172
221;Co-Boy15;15176;Chiquinquira;176
222;Co-Boy15;15180;Chiscas;180
223;Co-Boy15;15183;Chita;183
224;Co-Boy15;15185;Chitaraque;185
225;Co-Boy15;15187;Chivata;187
226;Co-Boy15;15189;Cienaga;189
227;Co-Boy15;15204;Combita;204
228;Co-Boy15;15212;Coper;212
229;Co-Boy15;15215;Corrales;215
230;Co-Boy15;15218;Covarachia;218
231;Co-Boy15;15223;Cubara;223
232;Co-Boy15;15224;Cucaita;224
233;Co-Boy15;15226;Cuitiva;226
234;Co-Boy15;15232;Chiquiza;232
235;Co-Boy15;15236;Chivor;236
236;Co-Boy15;15238;Duitama;238
237;Co-Boy15;15244;El Cocuy;244
238;Co-Boy15;15248;El Espino;248
239;Co-Boy15;15272;Firavitoba;272
240;Co-Boy15;15276;Floresta;276
241;Co-Boy15;15293;Gachantiva;293
242;Co-Boy15;15296;Gameza;296
243;Co-Boy15;15299;Garagoa;299
244;Co-Boy15;15317;Guacamayas;317
245;Co-Boy15;15322;Guateque;322
246;Co-Boy15;15325;Guayata;325
247;Co-Boy15;15332;Guican;332
248;Co-Boy15;15362;Iza;362
249;Co-Boy15;15367;Jenesano;367
250;Co-Boy15;15368;Jerico;368
251;Co-Boy15;15377;Labranzagrande;377
252;Co-Boy15;15380;La Capilla;380
253;Co-Boy15;15401;La Victoria;401
254;Co-Boy15;15403;La Uvita;403
255;Co-Boy15;15407;Villa de Leiva;407
256;Co-Boy15;15425;Macanal;425
257;Co-Boy15;15442;Maripi;442
258;Co-Boy15;15455;Miraflores;455
259;Co-Boy15;15464;Mongua;464
260;Co-Boy15;15466;Mongui;466
261;Co-Boy15;15469;Moniquira;469
262;Co-Boy15;15476;Motavita;476
263;Co-Boy15;15480;Muzo;480
264;Co-Boy15;15491;Nobsa;491
265;Co-Boy15;15494;Nuevo Colon;494
266;Co-Boy15;15500;Oicata;500
267;Co-Boy15;15507;Otanche;507
268;Co-Boy15;15511;Pachavita;511
269;Co-Boy15;15514;Paez;514
270;Co-Boy15;15516;Paipa;516
271;Co-Boy15;15518;Pajarito;518
272;Co-Boy15;15522;Panqueba;522
273;Co-Boy15;15531;Pauna;531
274;Co-Boy15;15532;Paya;533
275;Co-Boy15;15537;Paz de Rio;537
276;Co-Boy15;15542;Pesca;542
277;Co-Boy15;15550;Pisva;550
278;Co-Boy15;15572;Puerto Boyaca;572
279;Co-Boy15;15580;Quipama;580
280;Co-Boy15;15599;Ramiriqui;599
281;Co-Boy15;15600;Raquira;600
282;Co-Boy15;15621;Rondon;621
283;Co-Boy15;15632;Saboya;632
284;Co-Boy15;15638;Sachica;638
285;Co-Boy15;15646;Samaca;646
286;Co-Boy15;15660;San Eduardo;660
287;Co-Boy15;15664;San Jose de Pare;664
288;Co-Boy15;15667;San Luis de Gaceno;667
289;Co-Boy15;15673;San Mateo;673
290;Co-Boy15;15676;San Miguel de Sema;676
291;Co-Boy15;15681;San Pablo de Borbur;681
292;Co-Boy15;15686;Santana;686
293;Co-Boy15;15690;Santa Maria;690
294;Co-Boy15;15693;Santa Rosa de Viterbo;693
295;Co-Boy15;15696;Santa Sofia;696
296;Co-Boy15;15720;Sativanorte;720
297;Co-Boy15;15723;Sativasur;723
298;Co-Boy15;15740;Siachoque;740
299;Co-Boy15;15753;Soata;753
300;Co-Boy15;15755;Socota;755
301;Co-Boy15;15757;Socha;757
302;Co-Boy15;15759;Sogamoso;759
303;Co-Boy15;15761;Somondoco;761
304;Co-Boy15;15762;Sora;762
305;Co-Boy15;15763;Sotaquira;763
306;Co-Boy15;15764;Soraca;764
307;Co-Boy15;15774;Susacon;774
308;Co-Boy15;15776;Sutamarchan;776
309;Co-Boy15;15778;Sutatenza;778
310;Co-Boy15;15790;Tasco;790
311;Co-Boy15;15798;Tenza;798
312;Co-Boy15;15804;Tibana;804
313;Co-Boy15;15806;Tibasosa;806
314;Co-Boy15;15808;Tinjaca;808
315;Co-Boy15;15810;Tipacoque;810
316;Co-Boy15;15814;Toca;814
317;Co-Boy15;15816;Togui;816
318;Co-Boy15;15820;Topaga;820
319;Co-Boy15;15822;Tota;822
320;Co-Boy15;15832;Tunungua;832
321;Co-Boy15;15835;Turmeque;835
322;Co-Boy15;15837;Tuta;837
323;Co-Boy15;15839;Tutasa;839
324;Co-Boy15;15842;Umbita;842
325;Co-Boy15;15861;Ventaquemada;861
326;Co-Boy15;15879;Viracacha;879
327;Co-Boy15;15897;Zetaquira;897
328;Co-Cal17;17001;Manizales;001
329;Co-Cal17;17013;Aguadas;013
330;Co-Cal17;17042;Anserma;042
331;Co-Cal17;17050;Aranzazu;050
332;Co-Cal17;17088;Belalcazar;088
333;Co-Cal17;17174;Chinchina;174
334;Co-Cal17;17272;Filadelfia;272
335;Co-Cal17;17380;La Dorada;380
336;Co-Cal17;17388;La Merced;388
337;Co-Cal17;17433;Manzanares;433
338;Co-Cal17;17442;Marmato;442
339;Co-Cal17;17444;Marquetalia;444
340;Co-Cal17;17446;Marulanda;446
341;Co-Cal17;17486;Neira;486
342;Co-Cal17;17495;Norcasia;495
343;Co-Cal17;17513;Pacora;513
344;Co-Cal17;17524;Palestina;524
345;Co-Cal17;17541;Pensilvania;541
346;Co-Cal17;17614;Riosucio;614
347;Co-Cal17;17616;Risaralda;616
348;Co-Cal17;17653;Salamina;653
349;Co-Cal17;17662;Samana;662
350;Co-Cal17;17665;San Jose;665
351;Co-Cal17;17777;Supia;777
352;Co-Cal17;17867;La Victoria;401
353;Co-Cal17;17873;Villamaria;873
354;Co-Cal17;17877;Viterbo;877
355;Co-Caq18;18001;Florencia;001
356;Co-Caq18;18029;Albania;029
357;Co-Caq18;18094;Belen de los Andaquies;094
358;Co-Caq18;18150;Cartagena del Chaira;150
359;Co-Caq18;18205;Curillo;205
360;Co-Caq18;18247;El Doncello;247
361;Co-Caq18;18256;El Paujil;256
362;Co-Caq18;18410;La Montańita;410
363;Co-Caq18;18460;Milan;460
364;Co-Caq18;18479;Morelia;479
365;Co-Caq18;18592;Puerto Rico;592
366;Co-Caq18;18610;San Jose del Fragua;610
367;Co-Caq18;18753;San Vicente del Caguan;753
368;Co-Caq18;18765;Solano;756
369;Co-Caq18;18785;Solita;785
370;Co-Caq18;18860;Valparaiso;856
371;Co-Cas85;85001;Yopal;001
372;Co-Cas85;85010;Aguazul;010
373;Co-Cas85;85015;Chameza;015
374;Co-Cas85;85125;Hato Corozal;125
375;Co-Cas85;85136;La Salina;136
376;Co-Cas85;85139;Mani;139
377;Co-Cas85;85162;Monterrey;162
378;Co-Cas85;85225;Nunchia;225
379;Co-Cas85;85230;Orocue;230
380;Co-Cas85;85250;Paz de Ariporo;250
381;Co-Cas85;85263;Pore;263
382;Co-Cas85;85279;Recetor;279
383;Co-Cas85;85300;Sabanalarga;628
384;Co-Cas85;85315;Sacama;315
385;Co-Cas85;85325;San Luis de Palenque;325
386;Co-Cas85;85400;Tamara;400
387;Co-Cas85;85410;Tauramena;410
388;Co-Cas85;85430;Trinidad;430
389;Co-Cas85;85440;Villanueva;873
390;Co-Cau19;19001;Popayan;001
391;Co-Cau19;19022;Almaguer;022
392;Co-Cau19;19050;Argelia;055
393;Co-Cau19;19075;Balboa;075
394;Co-Cau19;19100;Bolivar;100
395;Co-Cau19;19110;Buenos Aires;110
396;Co-Cau19;19130;Cajibio;130
397;Co-Cau19;19137;Caldono;137
398;Co-Cau19;19142;Caloto;142
399;Co-Cau19;19212;Corinto;212
400;Co-Cau19;19256;El Tambo;256
401;Co-Cau19;19290;Florencia;001
402;Co-Cau19;19300;Guachene;300
403;Co-Cau19;19318;Guapi;318
404;Co-Cau19;19355;Inza;355
405;Co-Cau19;19364;Jambalo;364
406;Co-Cau19;19392;La Sierra;392
407;Co-Cau19;19397;La Vega;397
408;Co-Cau19;19418;Lopez;418
409;Co-Cau19;19450;Mercaderes;450
410;Co-Cau19;19455;Miranda;455
411;Co-Cau19;19473;Morales;473
412;Co-Cau19;19513;Padilla;513
413;Co-Cau19;19517;Paez;514
414;Co-Cau19;19532;Patia;532
415;Co-Cau19;19533;Piamonte;533
416;Co-Cau19;19548;Piendamo;548
417;Co-Cau19;19573;Puerto Tejada;573
418;Co-Cau19;19585;Purace;585
419;Co-Cau19;19622;Rosas;622
420;Co-Cau19;19693;San Sebastian;693
421;Co-Cau19;19698;Santander de Quilichao;698
422;Co-Cau19;19701;Santa Rosa;683
423;Co-Cau19;19743;Silvia;743
424;Co-Cau19;19760;Sotara;760
425;Co-Cau19;19780;Suarez;780
426;Co-Cau19;19785;Sucre;785
427;Co-Cau19;19807;Timbio;807
428;Co-Cau19;19809;Timbiqui;809
429;Co-Cau19;19821;Toribio;821
430;Co-Cau19;19824;Totoro;824
431;Co-Cau19;19845;Villa Rica;845
432;Co-Ces20;20001;Valledupar;001
433;Co-Ces20;20011;Aguachica;011
434;Co-Ces20;20013;Agustin Codazzi;013
435;Co-Ces20;20032;Astrea;032
436;Co-Ces20;20045;Becerril;045
437;Co-Ces20;20060;Bosconia;060
438;Co-Ces20;20175;Chimichagua;175
439;Co-Ces20;20178;Chiriguana;178
440;Co-Ces20;20228;Curumani;228
441;Co-Ces20;20238;El Copey;238
442;Co-Ces20;20250;El Paso;250
443;Co-Ces20;20295;Gamarra;295
444;Co-Ces20;20310;Gonzalez;310
445;Co-Ces20;20383;La Gloria;383
446;Co-Ces20;20400;La Jagua de Ibirico;400
447;Co-Ces20;20443;Manaure;443
448;Co-Ces20;20517;Pailitas;517
449;Co-Ces20;20550;Pelaya;550
450;Co-Ces20;20570;Pueblo Bello;570
451;Co-Ces20;20614;Rio de oro;614
452;Co-Ces20;20621;La Paz;621
453;Co-Ces20;20710;San Alberto;710
454;Co-Ces20;20750;San Diego;750
455;Co-Ces20;20770;San Martin;770
456;Co-Ces20;20787;Tamalameque;787
457;Co-Cho27;27001;Quibdo;001
458;Co-Cho27;27006;Acandi;006
459;Co-Cho27;27025;Alto Baudo;025
460;Co-Cho27;27050;Atrato;050
461;Co-Cho27;27073;Bagado;073
462;Co-Cho27;27075;Bahia Solano;075
463;Co-Cho27;27077;Bajo Baudo;077
464;Co-Cho27;27086;Belen de Bajira;077
465;Co-Cho27;27099;Bojaya;099
466;Co-Cho27;27135;El Canton de San Pablo;135
467;Co-Cho27;27150;Carmen del Darien;150
468;Co-Cho27;27160;Certegui;160
469;Co-Cho27;27205;Condoto;205
470;Co-Cho27;27245;El Carmen de Atrato;245
471;Co-Cho27;27250;Santa Genoveva de Docorodo;077
472;Co-Cho27;27361;Istmina;361
473;Co-Cho27;27372;Jurado;372
474;Co-Cho27;27413;Lloro;413
475;Co-Cho27;27425;Medio Atrato;425
476;Co-Cho27;27430;Medio Baudo;430
477;Co-Cho27;27450;Medio San Juan;450
478;Co-Cho27;27491;Novita;491
479;Co-Cho27;27495;Nuqui;495
480;Co-Cho27;27580;Rio Iro;580
481;Co-Cho27;27600;Rio Quito;600
482;Co-Cho27;27615;Riosucio;614
483;Co-Cho27;27660;San Jose del Palmar;660
484;Co-Cho27;27745;Sipi;745
485;Co-Cho27;27787;Tado;787
486;Co-Cho27;27800;Unguia;800
487;Co-Cho27;27810;Union Panamericana;810
488;Co-Cor23;23001;Monteria;001
489;Co-Cor23;23068;Ayapel;068
490;Co-Cor23;23079;Buenavista;109
491;Co-Cor23;23090;Canalete;090
492;Co-Cor23;23162;Cerete;162
493;Co-Cor23;23168;Chima;168
494;Co-Cor23;23182;Chinu;182
495;Co-Cor23;23189;Cienaga de Oro;189
496;Co-Cor23;23300;Cotorra;300
497;Co-Cor23;23350;La Apartada y La Frontera;350
498;Co-Cor23;23417;Lorica;417
499;Co-Cor23;23419;Los Cordobas;419
500;Co-Cor23;23464;Momil;464
501;Co-Cor23;23466;Montelibano;466
502;Co-Cor23;23500;Mońitos;500
503;Co-Cor23;23555;Planeta Rica;555
504;Co-Cor23;23570;Pueblo Nuevo;570
505;Co-Cor23;23574;Puerto Escondido;574
506;Co-Cor23;23580;Puerto Libertador;580
507;Co-Cor23;23586;Purisima;586
508;Co-Cor23;23660;Sahagun;660
509;Co-Cor23;23670;San Andres Sotavento;670
510;Co-Cor23;23672;San Antero;672
511;Co-Cor23;23675;San Bernardo del Viento;675
512;Co-Cor23;23678;San Carlos;649
513;Co-Cor23;23682;San Jose de Ure;350
514;Co-Cor23;23686;San Pelayo;686
515;Co-Cor23;23807;Tierralta;807
516;Co-Cor23;23815;Tuchin;350
517;Co-Cor23;23855;Valencia;855
518;Co-Cun25;25001;Agua de Dios;001
519;Co-Cun25;25019;Alban;019
520;Co-Cun25;25035;Anapoima;035
521;Co-Cun25;25040;Anolaima;040
522;Co-Cun25;25053;Arbelaez;053
523;Co-Cun25;25086;Beltran;086
524;Co-Cun25;25095;Bituima;095
525;Co-Cun25;25099;Bojaca;099
526;Co-Cun25;25120;Cabrera;120
527;Co-Cun25;25123;Cachipay;123
528;Co-Cun25;25126;Cajica;126
529;Co-Cun25;25148;Caparrapi;148
530;Co-Cun25;25151;Caqueza;151
531;Co-Cun25;25154;Carmen de Carupa;154
532;Co-Cun25;25168;Chaguani;168
533;Co-Cun25;25175;Chia;175
534;Co-Cun25;25178;Chipaque;178
535;Co-Cun25;25181;Choachi;181
536;Co-Cun25;25183;Choconta;183
537;Co-Cun25;25200;Cogua;200
538;Co-Cun25;25214;Cota;214
539;Co-Cun25;25224;Cucunuba;224
540;Co-Cun25;25245;El Colegio;245
541;Co-Cun25;25258;El Peńon;268
542;Co-Cun25;25260;El Rosal;260
543;Co-Cun25;25269;Facatativa;269
544;Co-Cun25;25279;Fomeque;279
545;Co-Cun25;25281;Fosca;281
546;Co-Cun25;25286;Funza;286
547;Co-Cun25;25288;Fuquene;288
548;Co-Cun25;25290;Fusagasuga;290
549;Co-Cun25;25293;Gachala;293
550;Co-Cun25;25295;Gachancipa;295
551;Co-Cun25;25297;Gacheta;297
552;Co-Cun25;25299;Gama;299
553;Co-Cun25;25307;Girardot;307
554;Co-Cun25;25312;Granada;313
555;Co-Cun25;25317;Guacheta;317
